icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,fetch_time
ad3f29,N502AF  ,United States,1635884356,1635884356,-96.4182,32.1522,2346.96,False,56.04,313.51,0,,2423.16,,False,0,1635884357
a5e90d,TRF424  ,United States,1635884219,1635884354,-96.7911,33.0487,822.96,False,48.48,109.2,0.98,,876.3,,False,0,1635884357
ab6737,AAL1710 ,United States,1635884080,1635884107,-97.01,32.8665,144.78,False,65.85,0.45,-0.65,,220.98,2632,False,0,1635884357
a9f424,SKW3170 ,United States,1635884356,1635884356,-96.987,33.0611,1897.38,False,143.1,31.18,10.73,,1973.58,6277,False,0,1635884357
a0cfbd,AAL2224 ,United States,1635884357,1635884357,-97.0895,33.0771,1760.22,False,135.31,282.29,9.1,,1844.04,3423,False,0,1635884357
a1200d,UCA4351 ,United States,1635884356,1635884356,-96.2188,32.6625,8229.6,False,231.5,359.62,0,,8511.54,1246,False,0,1635884357
a24014,ENY3957 ,United States,1635884356,1635884356,-96.308,32.6342,10972.8,False,208.39,211.06,0,,11323.32,0060,False,0,1635884357
a7302f,AAL1051 ,United States,1635884356,1635884356,-96.4263,32.8581,5196.84,False,193.56,127.87,8.13,,5372.1,3447,False,0,1635884357
a4a874,N4FH    ,United States,1635884356,1635884356,-96.2342,32.5205,838.2,False,54.06,261.79,-0.33,,891.54,,False,0,1635884357
a79e31,JBU710  ,United States,1635884355,1635884355,-97.0362,32.8925,,True,0.06,227.81,,,,,False,0,1635884357
a3c2d5,UPS2954 ,United States,1635884355,1635884355,-97.061,32.9158,,True,0.77,123.75,,,,,False,0,1635884357
ab1a2d,BTQ554  ,United States,1635884356,1635884356,-97.4562,32.5352,1432.56,False,117.78,71.41,-0.33,,1524,,False,0,1635884357
a14830,N182AX  ,United States,1635884355,1635884355,-97.3531,32.6553,838.2,False,58.62,79.38,1.3,,899.16,0221,False,0,1635884357
