2021-12-20 13:11:01.631 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:02.397 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:03.093 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:03.884 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:04.626 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:05.345 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:06.108 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:06.832 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:07.575 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:08.318 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:22.862 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:23.605 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:24.376 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:25.118 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:25.814 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:26.508 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:30.060 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:31.179 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:49.843 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:11:55.536 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
2021-12-20 13:12:30.214 -08:00 | Debug   | 00062D9F | TranscriptionService.swift:302 - Transcription: , cabin: true
